OrderID,CustomerID,Product,Category,Quantity,UnitPrice,OrderDate,Country
1001,C001,Laptop,Electronics,2,750.00,2026-08-01,Pakistan
1002,C002,Mouse,Electronics,5,20.00,2026-08-01,Pakistan
1003,C003,Chair,Furniture,3,120.00,2026-08-02,India
1004,C004,Desk,Furniture,1,300.00,2026-08-02,UAE
1005,C005,Keyboard,Electronics,4,45.00,2026-08-03,Pakistan
1006,C006,Monitor,Electronics,2,220.00,2026-08-03,India
1007,C007,Printer,Office,1,180.00,2026-08-04,Bangladesh
1008,C008,Notebook,Office,10,5.00,2026-08-04,Pakistan
1009,C009,Tablet,Electronics,3,350.00,2026-08-05,UAE
1010,C010,Pen,Office,20,2.50,2026-08-05,Pakistan
